JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456856.65417,6.8,,,Vis.,CWP,,7.3,5.8,10390QM,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456857.3465,6.8,,,Vis.,DNO,,63,73,13515IEG,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456857.43403,7.2,,,Vis.,BANH,V,6.3,7.3,11849ACY,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456857.4389,6.8,,,Vis.,VFK,,58,73,3722WFU,10X50,,,Z,,,,Z UMA,BAV,STD,,,,
2456858.3353,7.3,,,Vis.,ATI,,73,,7031AET,,,,Z,,,,Z UMA,MCSE,STD,,,,
2456858.43,6.5,,,Vis.,SBEA,,63,73,13109CHZ,,,,Z,,,,Z UMA,BAV,STD,,,,
2456858.4549,6.6,,,Vis.,HGUA,,64,73,5749GD,,,,Z,,,,Z UMA,SAAF,STD,,,,
2456858.45625,6.7,,,Vis.,KKAA,,63,73,11282BOE,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456858.5354,6.8,,,Vis.,VFK,,58,73,3722WFU,LEIPZIG 113/450,,,Z,,,,Z UMA,BAV,STD,,,,
2456859.3674,6.8,,,Vis.,VFK,,58,73,3722WFU,LEIPZIG 113/450,,,Z,,,,Z UMA,BAV,STD,,,,
2456859.45139,6.963,,,Vis.,LDS,,,,217.02,10 images per measurement; 200mmlens,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456859.455,6.6,,,Vis.,ASW,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456859.64583,7.2,,,Vis.,MCPA,,73,63,11282CSP,,,,Z,,,,Z UMA,AAVSO,STD,,,,
2456860.4,7.6,,,Vis.,BQC,,NA,,NA,,,,Z,,,,Z UMA,AFOEV,STD,,,,
2456860.411,7,,,Vis.,SJDA,,,,217.02,B20x80,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456860.42,7,,,Vis.,MTON,,,,217.02,11x80B,,,Z,,,,Z UMA,,STD,,,,BAAVSS
2456860.43681,6.6,,,Vis.,WJAA,,64,73,6043ECT,,,,Z,,,,Z UMA,AAVSO,STD,,,,
