# Bayo et al, M types from Collinder 69	
# spty = M7.0  (Spectral type)	
#	
wavelength	flux
#     (ANGSTROM)	#    (ERG/CM2/S/A)
6971.971823	1.833574E-17
6973.837452	1.926108E-17
6975.70308	1.912068E-17
6977.568709	1.709071E-17
6979.434338	1.754923E-17
6981.299967	1.777063E-17
6983.165596	1.797155E-17
6985.031225	1.720678E-17
6986.896854	1.544321E-17
6988.762483	1.747734E-17
6990.628112	1.921203E-17
6992.493741	1.89338E-17
6994.35937	1.685801E-17
6996.224999	1.813224E-17
6998.090628	1.978577E-17
6999.956257	1.866323E-17
7001.821886	1.726655E-17
7003.687515	1.871283E-17
7005.553144	1.961203E-17
7007.418773	1.864638E-17
7009.284402	2.06599E-17
7011.150031	1.983646E-17
7013.01566	1.887195E-17
7014.881289	1.869136E-17
7016.746918	1.758849E-17
7018.612547	1.837551E-17
7020.478176	1.975817E-17
7022.343805	2.007478E-17
7024.209434	1.95664E-17
7026.075063	1.997663E-17
7027.940692	2.187489E-17
7029.806321	2.202914E-17
7031.67195	2.105017E-17
7033.537578	2.084384E-17
7035.403207	2.02454E-17
7037.268836	2.09418E-17
7039.134465	2.133764E-17
7041.000094	1.99403E-17
7042.865723	2.244034E-17
7044.731352	2.334254E-17
7046.596981	2.183146E-17
7048.46261	1.858378E-17
7050.328239	1.435113E-17
7052.193868	1.047902E-17
7054.059497	9.309188E-18
7055.925126	8.18152E-18
7057.790755	1.033583E-17
7059.656384	1.262525E-17
7061.522013	1.239987E-17
7063.387642	1.274385E-17
7065.253271	1.356247E-17
7067.1189	1.303008E-17
7068.984529	1.057489E-17
7070.850158	1.072508E-17
7072.715787	1.061075E-17
7074.581416	1.050112E-17
7076.447045	1.070877E-17
7078.312674	9.580205E-18
7080.178303	1.194225E-17
7082.043932	9.764121E-18
7083.909561	8.127667E-18
7085.77519	6.696995E-18
7087.640819	5.259435E-18
7089.506448	5.118486E-18
7091.372076	7.056738E-18
7093.237705	6.744131E-18
7095.103334	8.080073E-18
7096.968963	8.081333E-18
7098.834592	6.343622E-18
7100.700221	6.650143E-18
7102.56585	9.26749E-18
7104.431479	1.076417E-17
7106.297108	1.016833E-17
7108.162737	8.920451E-18
7110.028366	8.096523E-18
